repo,pr_number,user,created_at,merged_at,closed_at,num_reviews,response_time_hours,review_time_hours,lines_of_code,changed_files,reviewers,url
godotengine/godot,102945,FJRODDUR,2025-02-17T11:31:29Z,,2025-02-17T11:43:08Z,1,0.19361111111111112,0.19416666666666665,754,1,bruvzg,https://api.github.com/repos/godotengine/godot/pulls/102945
godotengine/godot,102925,ScrappieG,2025-02-16T18:54:50Z,,2025-02-16T18:55:33Z,0,,0.011944444444444445,13,1,,https://api.github.com/repos/godotengine/godot/pulls/102925
godotengine/godot,102915,A-Machynak,2025-02-16T09:47:16Z,,2025-02-16T17:22:03Z,0,,7.579722222222222,125,9,,https://api.github.com/repos/godotengine/godot/pulls/102915
godotengine/godot,102900,bruvzg,2025-02-15T21:07:51Z,2025-02-15T22:15:28Z,2025-02-15T22:15:28Z,2,0.20055555555555554,1.1269444444444445,837,18,"bruvzg, akien-mga",https://api.github.com/repos/godotengine/godot/pulls/102900
godotengine/godot,102896,khushichitalia,2025-02-15T19:02:09Z,,2025-02-16T09:48:49Z,0,,14.777777777777779,26,1,,https://api.github.com/repos/godotengine/godot/pulls/102896
godotengine/godot,102895,bruvzg,2025-02-15T16:09:22Z,2025-02-15T22:15:28Z,2025-02-15T22:15:28Z,2,0.03777777777777778,6.101666666666667,2,1,"akien-mga, KoBeWi",https://api.github.com/repos/godotengine/godot/pulls/102895
godotengine/godot,102892,Chaosus,2025-02-15T14:39:29Z,2025-02-15T22:15:28Z,2025-02-15T22:15:28Z,1,1.105,7.599722222222222,11,1,akien-mga,https://api.github.com/repos/godotengine/godot/pulls/102892
godotengine/godot,102874,YeldhamDev,2025-02-14T19:52:30Z,2025-02-15T22:15:28Z,2025-02-15T22:15:28Z,1,3.047222222222222,26.38277777777778,27,1,KoBeWi,https://api.github.com/repos/godotengine/godot/pulls/102874
godotengine/godot,102873,arkology,2025-02-14T19:44:16Z,2025-02-15T22:15:28Z,2025-02-15T22:15:28Z,1,26.36611111111111,26.52,1,1,akien-mga,https://api.github.com/repos/godotengine/godot/pulls/102873
godotengine/godot,102870,timoschwarzer,2025-02-14T18:08:33Z,2025-02-14T21:59:14Z,2025-02-14T21:59:14Z,1,0.3877777777777778,3.8447222222222224,2,1,clayjohn,https://api.github.com/repos/godotengine/godot/pulls/102870
godotengine/godot,102868,arkology,2025-02-14T17:32:38Z,2025-02-15T22:15:28Z,2025-02-15T22:15:29Z,2,5.461944444444445,28.71388888888889,16,1,KoBeWi,https://api.github.com/repos/godotengine/godot/pulls/102868
godotengine/godot,102862,dsnopek,2025-02-14T15:34:35Z,2025-02-14T21:59:14Z,2025-02-14T21:59:14Z,3,0.02388888888888889,6.410833333333334,29,4,"AThousandShips, syntaxerror247, dsnopek",https://api.github.com/repos/godotengine/godot/pulls/102862
godotengine/godot,102861,Faless,2025-02-14T14:52:02Z,2025-02-14T21:59:14Z,2025-02-14T21:59:14Z,1,6.6125,7.12,1,1,akien-mga,https://api.github.com/repos/godotengine/godot/pulls/102861
godotengine/godot,102854,bruvzg,2025-02-14T12:41:20Z,2025-02-14T14:30:34Z,2025-02-14T14:30:34Z,1,0.08,1.8205555555555555,17,2,AThousandShips,https://api.github.com/repos/godotengine/godot/pulls/102854
godotengine/godot,102851,Chubercik,2025-02-14T12:21:29Z,2025-02-14T14:30:34Z,2025-02-14T14:30:34Z,1,1.8911111111111112,2.151388888888889,545,19,akien-mga,https://api.github.com/repos/godotengine/godot/pulls/102851
godotengine/godot,102843,maxpiepenbrink,2025-02-14T04:57:46Z,2025-02-14T14:30:34Z,2025-02-14T14:30:34Z,1,0.8147222222222222,9.546666666666667,1,1,clayjohn,https://api.github.com/repos/godotengine/godot/pulls/102843
godotengine/godot,102842,Hilderin,2025-02-14T04:32:55Z,2025-02-17T08:48:09Z,2025-02-17T08:48:09Z,5,55.074444444444445,76.2538888888889,446,2,"Hilderin, KoBeWi",https://api.github.com/repos/godotengine/godot/pulls/102842
godotengine/godot,102836,raulsntos,2025-02-14T02:14:49Z,2025-02-14T21:59:14Z,2025-02-14T21:59:14Z,1,19.246111111111112,19.740277777777777,301,14,akien-mga,https://api.github.com/repos/godotengine/godot/pulls/102836
godotengine/godot,102835,Clancey,2025-02-14T02:06:47Z,,2025-02-14T15:38:16Z,0,,13.524722222222222,2,1,,https://api.github.com/repos/godotengine/godot/pulls/102835
godotengine/godot,102833,Hilderin,2025-02-14T00:27:32Z,2025-02-14T14:30:34Z,2025-02-14T14:30:34Z,6,0.5883333333333334,14.050555555555556,14,2,"AThousandShips, clayjohn, Hilderin, akien-mga",https://api.github.com/repos/godotengine/godot/pulls/102833
godotengine/godot,102830,clayjohn,2025-02-13T23:02:20Z,2025-02-17T08:48:09Z,2025-02-17T08:48:09Z,1,81.60722222222222,81.76361111111112,71,1,akien-mga,https://api.github.com/repos/godotengine/godot/pulls/102830
