repo,pr_number,user,created_at,merged_at,closed_at,num_reviews,response_time_hours,review_time_hours,lines_of_code,changed_files,reviewers,url
kubernetes/kubernetes,130102,marosset,2025-02-11T23:46:33Z,2025-02-12T18:48:28Z,2025-02-12T18:48:28Z,8,0.6880555555555555,19.031944444444445,8,2,"BenTheElder, marosset",https://api.github.com/repos/kubernetes/kubernetes/pulls/130102
kubernetes/kubernetes,130095,pacoxu,2025-02-11T10:34:46Z,,2025-02-13T10:35:15Z,0,,48.00805555555556,24,4,,https://api.github.com/repos/kubernetes/kubernetes/pulls/130095
kubernetes/kubernetes,130091,googs1025,2025-02-11T05:14:17Z,2025-02-11T09:22:09Z,2025-02-11T09:22:09Z,8,0.0175,4.131111111111111,4,1,"sanposhiho, googs1025",https://api.github.com/repos/kubernetes/kubernetes/pulls/130091
kubernetes/kubernetes,130082,elizabeth-dev,2025-02-10T22:31:05Z,2025-02-15T15:44:21Z,2025-02-15T15:44:21Z,0,,113.22111111111111,170,4,,https://api.github.com/repos/kubernetes/kubernetes/pulls/130082
kubernetes/kubernetes,130081,elizabeth-dev,2025-02-10T22:27:57Z,2025-02-16T14:00:22Z,2025-02-16T14:00:22Z,5,3.167777777777778,135.5402777777778,28,1,"aroradaman, aojea, elizabeth-dev, googs1025",https://api.github.com/repos/kubernetes/kubernetes/pulls/130081
kubernetes/kubernetes,130080,elizabeth-dev,2025-02-10T22:25:32Z,2025-02-16T17:44:22Z,2025-02-16T17:44:22Z,3,112.68083333333334,139.3138888888889,136,2,"elizabeth-dev, aojea",https://api.github.com/repos/kubernetes/kubernetes/pulls/130080
kubernetes/kubernetes,130078,cpanato,2025-02-10T20:34:30Z,2025-02-11T23:47:58Z,2025-02-11T23:47:58Z,2,0.05138888888888889,27.224444444444444,22,7,"Verolop, saschagrunert",https://api.github.com/repos/kubernetes/kubernetes/pulls/130078
kubernetes/kubernetes,130077,cpanato,2025-02-10T20:31:39Z,2025-02-11T23:49:58Z,2025-02-11T23:49:58Z,2,0.08472222222222223,27.30527777777778,320,7,"Verolop, saschagrunert",https://api.github.com/repos/kubernetes/kubernetes/pulls/130077
kubernetes/kubernetes,130076,cpanato,2025-02-10T20:29:11Z,2025-02-11T23:49:58Z,2025-02-11T23:49:58Z,2,0.15138888888888888,27.34638888888889,82,7,"Verolop, saschagrunert",https://api.github.com/repos/kubernetes/kubernetes/pulls/130076
kubernetes/kubernetes,130075,cpanato,2025-02-10T20:26:03Z,2025-02-12T02:03:58Z,2025-02-12T02:03:58Z,0,,29.631944444444443,82,7,,https://api.github.com/repos/kubernetes/kubernetes/pulls/130075
kubernetes/kubernetes,130074,cpanato,2025-02-10T20:05:26Z,2025-02-11T14:30:06Z,2025-02-11T14:30:06Z,0,,18.41111111111111,22,7,,https://api.github.com/repos/kubernetes/kubernetes/pulls/130074
kubernetes/kubernetes,130072,Jefftree,2025-02-10T16:36:50Z,2025-02-11T13:03:58Z,2025-02-11T13:03:58Z,0,,20.452222222222222,3,1,,https://api.github.com/repos/kubernetes/kubernetes/pulls/130072
kubernetes/kubernetes,130068,mimowo,2025-02-10T13:46:12Z,2025-02-10T16:22:04Z,2025-02-10T16:22:04Z,1,1.2630555555555556,2.597777777777778,2,1,soltysh,https://api.github.com/repos/kubernetes/kubernetes/pulls/130068
kubernetes/kubernetes,130067,kerthcet,2025-02-10T12:10:24Z,2025-02-11T15:48:08Z,2025-02-11T15:48:08Z,4,1.1427777777777777,27.628888888888888,4,1,"sanposhiho, kerthcet",https://api.github.com/repos/kubernetes/kubernetes/pulls/130067
kubernetes/kubernetes,130062,mimowo,2025-02-10T08:19:43Z,2025-02-10T16:21:57Z,2025-02-10T16:21:57Z,1,0.24416666666666667,8.037222222222223,4,1,r0b2g1t,https://api.github.com/repos/kubernetes/kubernetes/pulls/130062
kubernetes/kubernetes,130059,googs1025,2025-02-10T06:07:42Z,2025-02-10T07:23:57Z,2025-02-10T07:23:57Z,1,1.018888888888889,1.2708333333333333,13,1,pohly,https://api.github.com/repos/kubernetes/kubernetes/pulls/130059
