repo,pr_number,user,created_at,merged_at,closed_at,num_reviews,reviewers,reviewer_response_times,response_time_hours,review_time_hours,lines_of_code,changed_files,url
ansible/ansible,84379,leegarrett,2024-11-23T12:56:03Z,2025-02-18T21:33:25Z,2025-02-18T21:33:25Z,4,"mattclay, mattclay, mattclay, mattclay","969.62, 19.82, 1087.67, 19.50",969.6186111111111,2096.6227777777776,82,10,https://api.github.com/repos/ansible/ansible/pulls/84379
ansible/ansible,84377,leegarrett,2024-11-23T10:54:25Z,2024-11-26T00:43:41Z,2024-11-26T00:43:41Z,1,mattclay,61.82,61.81777777777778,61.82111111111111,20,15,https://api.github.com/repos/ansible/ansible/pulls/84377
ansible/ansible,84373,AdamWill,2024-11-22T18:47:28Z,2024-11-29T16:19:08Z,2024-11-29T16:19:08Z,1,Akasurde,47.89,47.890277777777776,165.52777777777777,2,1,https://api.github.com/repos/ansible/ansible/pulls/84373
ansible/ansible,84371,TLINDEN,2024-11-22T12:01:58Z,,2024-11-26T10:59:19Z,1,Akasurde,75.28,75.2825,94.95583333333333,76,1,https://api.github.com/repos/ansible/ansible/pulls/84371
ansible/ansible,84366,jborean93,2024-11-22T03:36:33Z,2024-11-27T03:43:06Z,2024-11-27T03:43:06Z,1,mattclay,118.52,118.52222222222223,120.10916666666667,88,9,https://api.github.com/repos/ansible/ansible/pulls/84366
ansible/ansible,84362,Akasurde,2024-11-21T17:19:53Z,2024-12-03T15:41:56Z,2024-12-03T15:41:56Z,1,s-hertel,286.37,286.36583333333334,286.3675,82,1,https://api.github.com/repos/ansible/ansible/pulls/84362
ansible/ansible,84357,Akasurde,2024-11-21T00:28:41Z,2024-12-03T17:11:49Z,2024-12-03T17:11:49Z,1,s-hertel,303.10,303.09833333333336,304.7188888888889,212,3,https://api.github.com/repos/ansible/ansible/pulls/84357
ansible/ansible,84356,Akasurde,2024-11-20T22:13:00Z,2024-12-03T15:33:30Z,2024-12-03T15:33:30Z,1,s-hertel,305.34,305.3386111111111,305.34166666666664,163,2,https://api.github.com/repos/ansible/ansible/pulls/84356
ansible/ansible,84352,oraNod,2024-11-20T17:30:16Z,,2024-11-20T20:05:23Z,1,felixfontein,2.15,2.152222222222222,2.585277777777778,2,1,https://api.github.com/repos/ansible/ansible/pulls/84352
ansible/ansible,84336,sammyhori,2024-11-19T13:24:38Z,2024-12-03T15:18:37Z,2024-12-03T15:18:37Z,1,bcoca,243.78,243.7786111111111,337.89972222222224,2,1,https://api.github.com/repos/ansible/ansible/pulls/84336
ansible/ansible,84335,mkrizek,2024-11-19T09:52:30Z,2024-11-19T17:00:35Z,2024-11-19T17:00:35Z,1,sivel,6.94,6.940277777777778,7.134722222222222,50,3,https://api.github.com/repos/ansible/ansible/pulls/84335
ansible/ansible,84330,jborean93,2024-11-18T18:27:39Z,,2024-11-19T20:30:11Z,2,"nitzmahone, bcoca","7.29, 1.32",7.289444444444444,26.04222222222222,9464,804,https://api.github.com/repos/ansible/ansible/pulls/84330
ansible/ansible,84326,LorenzoBettini,2024-11-17T13:48:58Z,2024-12-03T15:14:37Z,2024-12-03T15:14:37Z,1,Akasurde,57.15,57.14666666666667,385.4275,2,1,https://api.github.com/repos/ansible/ansible/pulls/84326
ansible/ansible,84325,felixfontein,2024-11-16T21:35:52Z,2025-01-13T22:24:09Z,2025-01-13T22:24:09Z,1,s-hertel,1392.29,1392.2902777777779,1392.8047222222222,17,2,https://api.github.com/repos/ansible/ansible/pulls/84325
ansible/ansible,84322,Akasurde,2024-11-15T16:22:33Z,2024-12-03T15:14:49Z,2024-12-03T15:14:49Z,2,"johanneskastl, johanneskastl","161.13, 0.00",161.12972222222223,430.87111111111113,8,1,https://api.github.com/repos/ansible/ansible/pulls/84322
ansible/ansible,84321,schroeert,2024-11-15T11:54:12Z,2024-12-03T15:12:39Z,2024-12-03T15:12:39Z,3,"neikei, Akasurde, Akasurde","0.21, 6.06, 217.74",0.2125,435.3075,36,2,https://api.github.com/repos/ansible/ansible/pulls/84321
ansible/ansible,84315,Akasurde,2024-11-14T17:52:29Z,2024-12-03T15:06:29Z,2024-12-03T15:06:29Z,3,"s-hertel, flowerysong, flowerysong","0.95, 2.07, 0.47",0.9475,453.23333333333335,13,1,https://api.github.com/repos/ansible/ansible/pulls/84315
ansible/ansible,84313,s-hertel,2024-11-14T16:47:06Z,2024-12-10T14:09:15Z,2024-12-10T14:09:16Z,3,"sivel, mkrizek, bcoca","125.88, 15.08, 368.68",125.88333333333334,621.3691666666666,177,2,https://api.github.com/repos/ansible/ansible/pulls/84313
ansible/ansible,84307,krokwen,2024-11-13T11:00:08Z,,2024-11-14T18:50:16Z,2,"s-hertel, krokwen-tftc","4.27, 1.42",4.2683333333333335,31.835555555555555,3,1,https://api.github.com/repos/ansible/ansible/pulls/84307
ansible/ansible,84306,Akasurde,2024-11-13T02:29:51Z,2024-12-03T15:04:32Z,2024-12-03T15:04:32Z,1,mkrizek,158.37,158.37055555555557,492.5780555555556,11,3,https://api.github.com/repos/ansible/ansible/pulls/84306
ansible/ansible,84303,s-hertel,2024-11-12T17:04:23Z,2024-11-14T18:50:14Z,2024-11-14T18:50:15Z,1,bcoca,4.01,4.014166666666667,49.76416666666667,9,3,https://api.github.com/repos/ansible/ansible/pulls/84303
ansible/ansible,84300,bcoca,2024-11-12T15:57:08Z,2024-11-12T21:05:41Z,2024-11-12T21:05:41Z,1,Akasurde,3.01,3.0080555555555555,5.1425,27,2,https://api.github.com/repos/ansible/ansible/pulls/84300
ansible/ansible,84299,bcoca,2024-11-12T15:04:11Z,,2024-11-19T14:55:39Z,2,"jborean93, jborean93","60.09, 0.03",60.09,167.85777777777778,312,11,https://api.github.com/repos/ansible/ansible/pulls/84299
ansible/ansible,84292,mkrizek,2024-11-11T11:32:00Z,2024-11-21T16:06:18Z,2024-11-21T16:06:19Z,4,"mattclay, nitzmahone, mattclay, sivel","199.76, 0.07, 21.86, 22.87",199.76388888888889,244.57166666666666,193,5,https://api.github.com/repos/ansible/ansible/pulls/84292
ansible/ansible,84287,Akasurde,2024-11-08T16:33:54Z,2024-11-12T15:13:45Z,2024-11-12T15:13:45Z,1,mkrizek,94.66,94.6625,94.66416666666667,8,2,https://api.github.com/repos/ansible/ansible/pulls/84287
ansible/ansible,84284,Akasurde,2024-11-07T23:36:42Z,2024-11-12T15:09:39Z,2024-11-12T15:09:39Z,1,mkrizek,111.55,111.54722222222222,111.54916666666666,15,2,https://api.github.com/repos/ansible/ansible/pulls/84284
ansible/ansible,84275,mkrizek,2024-11-07T12:44:57Z,2024-11-19T08:32:04Z,2024-11-19T08:32:04Z,1,sivel,269.39,269.39444444444445,283.78527777777776,68,4,https://api.github.com/repos/ansible/ansible/pulls/84275
ansible/ansible,84254,Akasurde,2024-11-04T18:37:18Z,2024-12-06T15:44:08Z,2024-12-06T15:44:08Z,1,bcoca,20.85,20.8525,765.1138888888889,73,7,https://api.github.com/repos/ansible/ansible/pulls/84254
