repo,pr_number,user,created_at,merged_at,closed_at,num_reviews,reviewers,reviewer_response_times,response_time_hours,review_time_hours,lines_of_code,changed_files,url
facebook/react,31857,eps1lon,2024-12-19T14:19:38Z,2024-12-19T19:43:01Z,2024-12-19T19:43:01Z,4,"sebmarkbage, rickhanlonii, rickhanlonii, jackpope","2.30, 0.11, 0.01, 0.21",2.303611111111111,5.389722222222222,45,2,https://api.github.com/repos/facebook/react/pulls/31857
facebook/react,31852,sebmarkbage,2024-12-19T04:45:25Z,2024-12-19T17:54:59Z,2024-12-19T17:54:59Z,1,unstubbable,6.17,6.166666666666667,13.159444444444444,196,13,https://api.github.com/repos/facebook/react/pulls/31852
facebook/react,31851,sebmarkbage,2024-12-19T03:57:14Z,2024-12-19T05:03:40Z,2024-12-19T05:03:40Z,1,gnoff,0.04,0.041944444444444444,1.1072222222222223,127,6,https://api.github.com/repos/facebook/react/pulls/31851
facebook/react,31850,acdlite,2024-12-19T03:43:23Z,2024-12-19T15:18:06Z,2024-12-19T15:18:06Z,1,poteto,1.56,1.556111111111111,11.578611111111112,32,1,https://api.github.com/repos/facebook/react/pulls/31850
facebook/react,31844,rickhanlonii,2024-12-18T22:20:19Z,2024-12-19T18:05:23Z,2024-12-19T18:05:23Z,1,josephsavona,19.68,19.684166666666666,19.75111111111111,206,1,https://api.github.com/repos/facebook/react/pulls/31844
facebook/react,31843,rickhanlonii,2024-12-18T21:46:06Z,2024-12-19T16:50:05Z,2024-12-19T16:50:05Z,1,kassens,0.03,0.025555555555555557,19.066388888888888,105,2,https://api.github.com/repos/facebook/react/pulls/31843
facebook/react,31840,sebmarkbage,2024-12-18T20:38:02Z,2024-12-18T20:56:57Z,2024-12-18T20:56:57Z,1,gnoff,0.05,0.051111111111111114,0.31527777777777777,45,2,https://api.github.com/repos/facebook/react/pulls/31840
facebook/react,31839,rickhanlonii,2024-12-18T19:26:32Z,2024-12-18T22:51:12Z,2024-12-18T22:51:12Z,1,jackpope,0.46,0.4588888888888889,3.411111111111111,74,15,https://api.github.com/repos/facebook/react/pulls/31839
facebook/react,31838,rickhanlonii,2024-12-18T19:25:48Z,2024-12-18T19:45:38Z,2024-12-18T19:45:38Z,1,jackpope,0.30,0.29527777777777775,0.33055555555555555,67,11,https://api.github.com/repos/facebook/react/pulls/31838
facebook/react,31837,jonathanhefner,2024-12-18T18:35:55Z,2024-12-18T20:29:16Z,2024-12-18T20:29:16Z,1,eps1lon,1.78,1.7772222222222223,1.8891666666666667,2,1,https://api.github.com/repos/facebook/react/pulls/31837
facebook/react,31833,unstubbable,2024-12-18T13:16:23Z,2024-12-18T15:35:02Z,2024-12-18T15:35:02Z,1,gnoff,2.24,2.2375,2.3108333333333335,2,1,https://api.github.com/repos/facebook/react/pulls/31833
facebook/react,31829,sebmarkbage,2024-12-18T05:19:35Z,2024-12-19T04:53:54Z,2024-12-19T04:53:54Z,1,eps1lon,15.07,15.071388888888889,23.571944444444444,218,7,https://api.github.com/repos/facebook/react/pulls/31829
facebook/react,31828,sebmarkbage,2024-12-18T01:49:53Z,2025-01-02T18:02:22Z,2025-01-02T18:02:22Z,1,rickhanlonii,375.83,375.8288888888889,376.2080555555556,39,8,https://api.github.com/repos/facebook/react/pulls/31828
facebook/react,31826,rickhanlonii,2024-12-17T23:12:13Z,2024-12-18T18:29:22Z,2024-12-18T18:29:22Z,1,sebmarkbage,1.56,1.5591666666666666,19.285833333333333,141,8,https://api.github.com/repos/facebook/react/pulls/31826
facebook/react,31825,rickhanlonii,2024-12-17T21:12:49Z,2024-12-18T18:29:41Z,2024-12-18T18:29:41Z,1,eps1lon,0.78,0.7825,21.281111111111112,34,1,https://api.github.com/repos/facebook/react/pulls/31825
facebook/react,31823,mjesun,2024-12-17T17:13:11Z,2025-01-06T11:12:09Z,2025-01-06T11:12:09Z,1,eps1lon,473.98,473.9769444444444,473.98277777777776,202,5,https://api.github.com/repos/facebook/react/pulls/31823
